cancer type abbreviation,OS
MESO,0.8505747126436781
GBM,0.8239202657807309
LAML,0.665
UCS,0.6140350877192983
OV,0.6013289036544851
PAAD,0.5510204081632653
CHOL,0.5111111111111111
SKCM,0.4639830508474576
LUSC,0.4606741573033708
BLCA,0.44954128440366975
HNSC,0.44867549668874174
ESCA,0.4117647058823529
LIHC,0.3926940639269406
STAD,0.38551859099804303
LUAD,0.38065522620904835
SARC,0.3763837638376384
ACC,0.3695652173913043
KIRC,0.3601694915254237
UVM,0.2875
LGG,0.2514177693761815
CESC,0.23397435897435898
COAD,0.22568807339449543
DLBC,0.1875
UCEC,0.16981132075471697
READ,0.16939890710382513
KIRP,0.16761363636363635
BRCA,0.1634304207119741
KICH,0.15384615384615385
THYM,0.07142857142857142
PCPG,0.0427807486631016
THCA,0.034482758620689655
TGCT,0.02877697841726619
PRAD,0.0176678445229682
