gene,importance
653553,0.005589225670899182
AADAC,0.005439236323781367
ADAMTSL4,0.002089743760786892
AIM1L,0.0017646994613725504
ACVR2B,0.0014275266433233884
ADAMTS3,0.0011514007024029382
ADA,0.001077416738730334
ACADSB,0.0008097807608543617
AGPS,0.0007624795381783919
ACTC1,0.000707092636412554
ACTG2,0.0006969855375501544
AHSG,0.0005356762397064804
AGFG1,0.0004831193256220982
ABCC3,0.0004568408685798886
AHNAK2,0.0004414780783090766
A1CF,0.0004261152880381906
ADORA2B,0.00042207244849327513
ADORA2A,0.0004059010903134652
ADORA3,0.00040428395449546944
ADRA1D,0.000361429855318951
ACTL6B,0.000361429855318951
ACE2,0.00036102557136445207
AGT,0.000353748460183508
ADAMTS14,0.00035091847250208935
ADAM11,0.0003274700031413354
ACOT9,0.0003145329165974801
AFP,0.00030806437332557096
ABCC9,0.0002983615584176702
ABCA4,0.0002967444225997114
ADAMTS15,0.00029351015096371985
ADM,0.000291893015145724
AHCY,0.00027410452114795536
AGPAT4,0.00027410452114791833
ADORA1,0.00027087024951196376
ACSS3,0.00026884882973946905
ADARB1,0.0002656145581035145
ADAM6,0.00025672031110461163
ACTR2,0.000230846138016901
ACPP,0.000223164742881495
AGR3,0.0002223561749725341
AHCTF1,0.00021588763170062494
ACSM3,0.00021548334774612599
ACTR8,0.00021265336006463334
AHSA2,0.0002114405082011365
ACCN2,0.00021103622424667456
10357,0.0002061848167926872
ACOT7,0.00019809913770278223
ADAM9,0.00019486486606686468
ABHD4,0.00019486486606682765
AKAP5,0.00019041774256741326
